"","id","date","tavg"
"1","RSM00031713",2013-01-01,-29.5
"2","RSM00031713",2013-01-02,-29.8
"3","RSM00031713",2013-01-03,-28.1
"4","RSM00031713",2013-01-04,-25.4
"5","RSM00031713",2013-01-05,-24.4
"6","RSM00031713",2013-01-06,-25.6
"7","RSM00031713",2013-01-07,-30.8
"8","RSM00031713",2013-01-08,-32
"9","RSM00031713",2013-01-09,-32.4
"10","RSM00031713",2013-01-10,-31.6
"11","RSM00031713",2013-01-11,-27.3
"12","RSM00031713",2013-01-12,-28.5
"13","RSM00031713",2013-01-13,-28.3
"14","RSM00031713",2013-01-14,-29.6
"15","RSM00031713",2013-01-15,-29.8
"16","RSM00031713",2013-01-16,-29.1
"17","RSM00031713",2013-01-17,-29.2
"18","RSM00031713",2013-01-18,-25.9
"19","RSM00031713",2013-01-19,-23.8
"20","RSM00031713",2013-01-20,-22.4
"21","RSM00031713",2013-01-21,-21.3
"22","RSM00031713",2013-01-22,-22.3
"23","RSM00031713",2013-01-23,-20.5
"24","RSM00031713",2013-01-24,-15.4
"25","RSM00031713",2013-01-25,-13.2
"26","RSM00031713",2013-01-26,-21.2
"27","RSM00031713",2013-01-27,-23.2
"28","RSM00031713",2013-01-28,-24.9
"29","RSM00031713",2013-01-29,-25.3
"30","RSM00031713",2013-01-30,-23.7
"31","RSM00031713",2013-01-31,-18.2
"32","RSM00031713",2013-02-01,-14.2
"33","RSM00031713",2013-02-02,-18.7
"34","RSM00031713",2013-02-03,-20.1
"35","RSM00031713",2013-02-04,-21.6
"36","RSM00031713",2013-02-05,-24.4
"37","RSM00031713",2013-02-06,-24.9
"38","RSM00031713",2013-02-07,-19.6
"39","RSM00031713",2013-02-08,-25.2
"40","RSM00031713",2013-02-09,-24
"41","RSM00031713",2013-02-10,-24.4
"42","RSM00031713",2013-02-11,-21.4
"43","RSM00031713",2013-02-12,-22.2
"44","RSM00031713",2013-02-13,-19.8
"45","RSM00031713",2013-02-14,-19.8
"46","RSM00031713",2013-02-15,-24.2
"47","RSM00031713",2013-02-16,-23.6
"48","RSM00031713",2013-02-17,-19.2
"49","RSM00031713",2013-02-18,-14.9
"50","RSM00031713",2013-02-19,-20.5
"51","RSM00031713",2013-02-20,-15.2
"52","RSM00031713",2013-02-21,-17.2
"53","RSM00031713",2013-02-22,-17.8
"54","RSM00031713",2013-02-23,-22.2
"55","RSM00031713",2013-02-24,-18
"56","RSM00031713",2013-02-25,-16.6
"57","RSM00031713",2013-02-26,-15.6
"58","RSM00031713",2013-02-27,-13.2
"59","RSM00031713",2013-02-28,-9.4
